NO;Confirmed;Deaths
32;751270;22329
33;758473;22555
34;765350;22734
35;772103;22911
36;779548;23109
37;788402;23296
38;797723;23520
39;808340;23753
40;818386;23947
41;828026;24129
42;836718;24343
43;846765;24645
44;858043;24951
45;869600;25246
46;882418;25484
47;896642;25767
48;907929;25987
49;917015;26282
50;927380;26590
51;939948;26857
52;951651;27203
53;965283;27453
54;977474;27664
55;989262;27835
56;999256;28132
57;1012350;28468
58;1024298;28855
59;1037993;29331
60;1051795;29518
61;1066313;29728
62;1078314;29998
63;1089308;30277
64;1099687;30581
65;1111671;30770
66;1123105;31001
67;1134854;31202
68;1147010;31393
69;1157837;31556
70;1166079;31763
71;1174779;31976
72;1183555;32167
73;1191990;32381
74;1201859;32656
75;1210703;32936
76;1217468;33183
77;1223930;33367
78;1233959;33596
79;1243646;33788